attractionId,name,category,type,rating,crowdLevel,attractionDescription
attr52,Disneyland Paris - Kids Area,attraction,for_children,4.2,very_high,"An engaging for_children attraction, Disneyland Paris - Kids Area offers attraction experiences for visitors seeking entertainment and cultural enrichment."
attr53,Musée d'Orsay,museum,art,4.7,high,"A museum museum featuring art collections and exhibitions. Musée d'Orsay offers visitors a chance to explore art, history, and culture."
attr54,Seine River Cruise,attraction,scenic,4.5,medium,"An engaging scenic attraction, Seine River Cruise offers attraction experiences for visitors seeking entertainment and cultural enrichment."
attr55,Montmartre,landmark,neighborhood,4.6,high,"A historic neighborhood landmark, Montmartre is a significant landmark site known for its architectural beauty and cultural importance."
attr56,Picasso Museum,museum,art,4.6,medium,"A museum museum featuring art collections and exhibitions. Picasso Museum offers visitors a chance to explore art, history, and culture."
attr57,Magic Fountain,attraction,show,4.5,medium,"An engaging show attraction, Magic Fountain offers attraction experiences for visitors seeking entertainment and cultural enrichment."
attr58,Camp Nou,landmark,sports,4.6,high,"A historic sports landmark, Camp Nou is a significant landmark site known for its architectural beauty and cultural importance."
attr59,Vatican Museums,museum,art,4.7,very_high,"A museum museum featuring art collections and exhibitions. Vatican Museums offers visitors a chance to explore art, history, and culture."
attr60,Sistine Chapel,landmark,religious,4.8,very_high,"A historic religious landmark, Sistine Chapel is a significant landmark site known for its architectural beauty and cultural importance."
attr61,Roman Forum,landmark,historical,4.7,high,"A historic historical landmark, Roman Forum is a significant landmark site known for its architectural beauty and cultural importance."
attr62,Pantheon,landmark,historical,4.7,high,"A historic historical landmark, Pantheon is a significant landmark site known for its architectural beauty and cultural importance."
attr63,Rijksmuseum,museum,art,4.7,high,"A museum museum featuring art collections and exhibitions. Rijksmuseum offers visitors a chance to explore art, history, and culture."
attr64,Keukenhof Gardens,park,flowers,4.7,medium,"A beautiful flowers park offering park experiences, Keukenhof Gardens provides a peaceful escape with natural beauty and recreational opportunities."
attr65,Red Light District,landmark,neighborhood,3.8,high,"A historic neighborhood landmark, Red Light District is a significant landmark site known for its architectural beauty and cultural importance."
attr66,Checkpoint Charlie,landmark,historical,4.2,medium,"A historic historical landmark, Checkpoint Charlie is a significant landmark site known for its architectural beauty and cultural importance."
attr67,East Side Gallery,landmark,art,4.5,low,"A historic art landmark, East Side Gallery is a significant landmark site known for its architectural beauty and cultural importance."
attr68,St. Vitus Cathedral,landmark,religious,4.7,medium,"A historic religious landmark, St. Vitus Cathedral is a significant landmark site known for its architectural beauty and cultural importance."
attr69,Old Town Square,landmark,historical,4.6,high,"A historic historical landmark, Old Town Square is a significant landmark site known for its architectural beauty and cultural importance."
attr70,Spanish Synagogue,landmark,religious,4.5,low,"A historic religious landmark, Spanish Synagogue is a significant landmark site known for its architectural beauty and cultural importance."
attr71,Belvedere Palace,landmark,historical,4.6,medium,"A historic historical landmark, Belvedere Palace is a significant landmark site known for its architectural beauty and cultural importance."
attr72,Hofburg Palace,landmark,historical,4.6,high,"A historic historical landmark, Hofburg Palace is a significant landmark site known for its architectural beauty and cultural importance."
attr73,Natural History Museum,museum,science,4.5,medium,"A museum museum featuring science collections and exhibitions. Natural History Museum offers visitors a chance to explore art, history, and culture."
attr74,Science Museum,museum,science,4.6,medium,"A museum museum featuring science collections and exhibitions. Science Museum offers visitors a chance to explore art, history, and culture."
attr75,Natural History Museum - Kids Section,museum,for_children,4.4,medium,"A museum museum featuring for_children collections and exhibitions. Natural History Museum - Kids Section offers visitors a chance to explore art, history, and culture."
attr76,Tate Modern,museum,art,4.6,high,"A museum museum featuring art collections and exhibitions. Tate Modern offers visitors a chance to explore art, history, and culture."
attr77,Hyde Park,park,recreation,4.6,medium,"A beautiful recreation park offering park experiences, Hyde Park provides a peaceful escape with natural beauty and recreational opportunities."
attr78,Thyssen-Bornemisza Museum,museum,art,4.6,medium,"A museum museum featuring art collections and exhibitions. Thyssen-Bornemisza Museum offers visitors a chance to explore art, history, and culture."
attr79,Reina Sofia Museum,museum,art,4.6,high,"A museum museum featuring art collections and exhibitions. Reina Sofia Museum offers visitors a chance to explore art, history, and culture."
attr80,San Miguel Market,attraction,food,4.4,high,"An engaging food attraction, San Miguel Market offers attraction experiences for visitors seeking entertainment and cultural enrichment."
attr81,Belém Pastéis de Nata,attraction,food,4.6,medium,"An engaging food attraction, Belém Pastéis de Nata offers attraction experiences for visitors seeking entertainment and cultural enrichment."
attr82,Alfama District,landmark,neighborhood,4.6,low,"A historic neighborhood landmark, Alfama District is a significant landmark site known for its architectural beauty and cultural importance."
attr83,David Statue,landmark,art,4.7,high,"A historic art landmark, David Statue is a significant landmark site known for its architectural beauty and cultural importance."
attr84,Ponte Vecchio,landmark,monument,4.6,high,"A historic monument landmark, Ponte Vecchio is a significant landmark site known for its architectural beauty and cultural importance."
attr85,Pitti Palace,landmark,historical,4.6,medium,"A historic historical landmark, Pitti Palace is a significant landmark site known for its architectural beauty and cultural importance."
attr86,Doge's Palace,landmark,historical,4.7,high,"A historic historical landmark, Doge's Palace is a significant landmark site known for its architectural beauty and cultural importance."
attr87,Rialto Bridge,landmark,monument,4.6,high,"A historic monument landmark, Rialto Bridge is a significant landmark site known for its architectural beauty and cultural importance."
attr88,Burano Island,landmark,scenic,4.7,low,"A historic scenic landmark, Burano Island is a significant landmark site known for its architectural beauty and cultural importance."
attr89,National Archaeological Museum,museum,historical,4.6,low,"A museum museum featuring historical collections and exhibitions. National Archaeological Museum offers visitors a chance to explore art, history, and culture."
attr90,Ancient Agora,landmark,historical,4.6,low,"A historic historical landmark, Ancient Agora is a significant landmark site known for its architectural beauty and cultural importance."
attr91,Temple of Olympian Zeus,landmark,historical,4.5,low,"A historic historical landmark, Temple of Olympian Zeus is a significant landmark site known for its architectural beauty and cultural importance."
attr92,National Gallery,museum,art,4.5,medium,"A museum museum featuring art collections and exhibitions. National Gallery offers visitors a chance to explore art, history, and culture."
attr93,Book of Kells,landmark,historical,4.4,medium,"A historic historical landmark, Book of Kells is a significant landmark site known for its architectural beauty and cultural importance."
attr94,St. Patrick's Cathedral,landmark,religious,4.5,medium,"A historic religious landmark, St. Patrick's Cathedral is a significant landmark site known for its architectural beauty and cultural importance."
attr95,Edinburgh Old Town,landmark,neighborhood,4.7,medium,"A historic neighborhood landmark, Edinburgh Old Town is a significant landmark site known for its architectural beauty and cultural importance."
attr96,National Museum of Scotland,museum,historical,4.6,low,"A museum museum featuring historical collections and exhibitions. National Museum of Scotland offers visitors a chance to explore art, history, and culture."
attr97,Stockholm Old Town,landmark,neighborhood,4.7,medium,"A historic neighborhood landmark, Stockholm Old Town is a significant landmark site known for its architectural beauty and cultural importance."
attr98,ABBA Museum,museum,music,4.3,medium,"A museum museum featuring music collections and exhibitions. ABBA Museum offers visitors a chance to explore art, history, and culture."
attr99,Amalienborg Palace,landmark,historical,4.5,low,"A historic historical landmark, Amalienborg Palace is a significant landmark site known for its architectural beauty and cultural importance."
attr100,National Gallery of Denmark,museum,art,4.5,low,"A museum museum featuring art collections and exhibitions. National Gallery of Denmark offers visitors a chance to explore art, history, and culture."
attr101,Akershus Fortress,landmark,historical,4.5,low,"A historic historical landmark, Akershus Fortress is a significant landmark site known for its architectural beauty and cultural importance."
attr102,National Gallery,museum,art,4.5,low,"A museum museum featuring art collections and exhibitions. National Gallery offers visitors a chance to explore art, history, and culture."
attr103,Temppeliaukio Church,landmark,religious,4.5,low,"A historic religious landmark, Temppeliaukio Church is a significant landmark site known for its architectural beauty and cultural importance."
attr104,Market Square,landmark,market,4.4,low,"A historic market landmark, Market Square is a significant landmark site known for its architectural beauty and cultural importance."
attr105,Parliament Building,landmark,government,4.4,low,"A historic government landmark, Parliament Building is a significant landmark site known for its architectural beauty and cultural importance."
attr106,Matthias Church,landmark,religious,4.6,medium,"A historic religious landmark, Matthias Church is a significant landmark site known for its architectural beauty and cultural importance."
attr107,Fisherman's Bastion,landmark,monument,4.6,medium,"A historic monument landmark, Fisherman's Bastion is a significant landmark site known for its architectural beauty and cultural importance."
attr108,Chain Bridge,landmark,monument,4.6,medium,"A historic monument landmark, Chain Bridge is a significant landmark site known for its architectural beauty and cultural importance."
attr109,St. Michael's Church,landmark,religious,4.5,low,"A historic religious landmark, St. Michael's Church is a significant landmark site known for its architectural beauty and cultural importance."
attr110,Cloth Hall,landmark,historical,4.5,medium,"A historic historical landmark, Cloth Hall is a significant landmark site known for its architectural beauty and cultural importance."
attr111,Manneken Pis,landmark,monument,4.2,high,"A historic monument landmark, Manneken Pis is a significant landmark site known for its architectural beauty and cultural importance."
attr112,St. Michael and St. Gudula Cathedral,landmark,religious,4.5,low,"A historic religious landmark, St. Michael and St. Gudula Cathedral is a significant landmark site known for its architectural beauty and cultural importance."
attr113,Swiss Alps,landmark,nature,4.8,low,"A historic nature landmark, Swiss Alps is a significant landmark site known for its architectural beauty and cultural importance."
attr114,Matterhorn,landmark,nature,4.9,low,"A historic nature landmark, Matterhorn is a significant landmark site known for its architectural beauty and cultural importance."
attr115,Jungfraujoch,landmark,nature,4.8,medium,"A historic nature landmark, Jungfraujoch is a significant landmark site known for its architectural beauty and cultural importance."
attr116,Chillon Castle,landmark,historical,4.6,low,"A historic historical landmark, Chillon Castle is a significant landmark site known for its architectural beauty and cultural importance."
attr117,UN Headquarters,landmark,government,4.3,low,"A historic government landmark, UN Headquarters is a significant landmark site known for its architectural beauty and cultural importance."
attr118,Palais des Nations,landmark,government,4.2,low,"A historic government landmark, Palais des Nations is a significant landmark site known for its architectural beauty and cultural importance."
attr119,Basilica of Notre-Dame,landmark,religious,4.5,low,"A historic religious landmark, Basilica of Notre-Dame is a significant landmark site known for its architectural beauty and cultural importance."
attr120,Old Town,landmark,neighborhood,4.6,medium,"A historic neighborhood landmark, Old Town is a significant landmark site known for its architectural beauty and cultural importance."
attr121,Musée des Beaux-Arts,museum,art,4.4,low,"A museum museum featuring art collections and exhibitions. Musée des Beaux-Arts offers visitors a chance to explore art, history, and culture."
attr122,Place Bellecour,landmark,square,4.4,low,"A historic square landmark, Place Bellecour is a significant landmark site known for its architectural beauty and cultural importance."
attr123,Basilica of Notre-Dame de Fourvière,landmark,religious,4.6,medium,"A historic religious landmark, Basilica of Notre-Dame de Fourvière is a significant landmark site known for its architectural beauty and cultural importance."
attr124,Old Port,landmark,historical,4.5,medium,"A historic historical landmark, Old Port is a significant landmark site known for its architectural beauty and cultural importance."
attr125,Château d'If,landmark,historical,4.4,low,"A historic historical landmark, Château d'If is a significant landmark site known for its architectural beauty and cultural importance."
attr126,Promenade des Anglais,landmark,scenic,4.6,medium,"A historic scenic landmark, Promenade des Anglais is a significant landmark site known for its architectural beauty and cultural importance."
attr127,Musée Matisse,museum,art,4.5,low,"A museum museum featuring art collections and exhibitions. Musée Matisse offers visitors a chance to explore art, history, and culture."
attr128,English Garden,landmark,park,4.5,low,"A historic park landmark, English Garden is a significant landmark site known for its architectural beauty and cultural importance."
attr129,Marienplatz,landmark,square,4.6,medium,"A historic square landmark, Marienplatz is a significant landmark site known for its architectural beauty and cultural importance."
attr130,Neuschwanstein Castle,landmark,historical,4.7,medium,"A historic historical landmark, Neuschwanstein Castle is a significant landmark site known for its architectural beauty and cultural importance."
attr131,Port of Hamburg,landmark,historical,4.5,low,"A historic historical landmark, Port of Hamburg is a significant landmark site known for its architectural beauty and cultural importance."
attr132,Elbphilharmonie,landmark,music,4.7,low,"A historic music landmark, Elbphilharmonie is a significant landmark site known for its architectural beauty and cultural importance."
attr133,St. Pauli,landmark,neighborhood,4.2,medium,"A historic neighborhood landmark, St. Pauli is a significant landmark site known for its architectural beauty and cultural importance."
attr134,Frankfurt Cathedral,landmark,religious,4.5,low,"A historic religious landmark, Frankfurt Cathedral is a significant landmark site known for its architectural beauty and cultural importance."
attr135,Römer,landmark,historical,4.5,low,"A historic historical landmark, Römer is a significant landmark site known for its architectural beauty and cultural importance."
attr136,Duomo di Milano,landmark,religious,4.7,high,"A historic religious landmark, Duomo di Milano is a significant landmark site known for its architectural beauty and cultural importance."
attr137,La Scala,landmark,music,4.6,medium,"A historic music landmark, La Scala is a significant landmark site known for its architectural beauty and cultural importance."
attr138,Last Supper,landmark,art,4.7,high,"A historic art landmark, Last Supper is a significant landmark site known for its architectural beauty and cultural importance."
attr139,Naples National Archaeological Museum,museum,historical,4.6,low,"A museum museum featuring historical collections and exhibitions. Naples National Archaeological Museum offers visitors a chance to explore art, history, and culture."
attr140,Pompeii,landmark,historical,4.8,medium,"A historic historical landmark, Pompeii is a significant landmark site known for its architectural beauty and cultural importance."
attr141,Alcázar of Seville,landmark,historical,4.7,medium,"A historic historical landmark, Alcázar of Seville is a significant landmark site known for its architectural beauty and cultural importance."
attr142,Seville Cathedral,landmark,religious,4.7,medium,"A historic religious landmark, Seville Cathedral is a significant landmark site known for its architectural beauty and cultural importance."
attr143,Plaza de España,landmark,monument,4.6,low,"A historic monument landmark, Plaza de España is a significant landmark site known for its architectural beauty and cultural importance."
attr144,City of Arts and Sciences,landmark,architecture,4.7,medium,"A historic architecture landmark, City of Arts and Sciences is a significant landmark site known for its architectural beauty and cultural importance."
attr145,Valencia Cathedral,landmark,religious,4.5,low,"A historic religious landmark, Valencia Cathedral is a significant landmark site known for its architectural beauty and cultural importance."
attr146,Livraria Lello,landmark,bookstore,4.6,medium,"A historic bookstore landmark, Livraria Lello is a significant landmark site known for its architectural beauty and cultural importance."
attr147,Clérigos Tower,landmark,monument,4.5,low,"A historic monument landmark, Clérigos Tower is a significant landmark site known for its architectural beauty and cultural importance."
attr148,University of Coimbra,landmark,educational,4.6,low,"A historic educational landmark, University of Coimbra is a significant landmark site known for its architectural beauty and cultural importance."
attr149,Oia Sunset,landmark,scenic,4.9,high,"A historic scenic landmark, Oia Sunset is a significant landmark site known for its architectural beauty and cultural importance."
attr150,Red Beach,landmark,beach,4.7,low,"A historic beach landmark, Red Beach is a significant landmark site known for its architectural beauty and cultural importance."
attr151,Mykonos Windmills,landmark,monument,4.6,medium,"A historic monument landmark, Mykonos Windmills is a significant landmark site known for its architectural beauty and cultural importance."
attr152,Paradise Beach,landmark,beach,4.5,high,"A historic beach landmark, Paradise Beach is a significant landmark site known for its architectural beauty and cultural importance."
attr153,Blue Lagoon,attraction,spa,4.6,high,"An engaging spa attraction, Blue Lagoon offers attraction experiences for visitors seeking entertainment and cultural enrichment."
attr154,Northern Lights,landmark,nature,4.9,low,"A historic nature landmark, Northern Lights is a significant landmark site known for its architectural beauty and cultural importance."
attr155,Golden Circle,landmark,scenic,4.8,low,"A historic scenic landmark, Golden Circle is a significant landmark site known for its architectural beauty and cultural importance."
attr156,Innsbruck Old Town,landmark,neighborhood,4.6,low,"A historic neighborhood landmark, Innsbruck Old Town is a significant landmark site known for its architectural beauty and cultural importance."
attr157,Golden Roof,landmark,monument,4.5,low,"A historic monument landmark, Golden Roof is a significant landmark site known for its architectural beauty and cultural importance."
attr158,Mirabell Palace,landmark,historical,4.6,low,"A historic historical landmark, Mirabell Palace is a significant landmark site known for its architectural beauty and cultural importance."
attr159,Hohensalzburg Fortress,landmark,historical,4.7,low,"A historic historical landmark, Hohensalzburg Fortress is a significant landmark site known for its architectural beauty and cultural importance."
attr160,Chapel Bridge,landmark,monument,4.6,low,"A historic monument landmark, Chapel Bridge is a significant landmark site known for its architectural beauty and cultural importance."
attr161,Lion Monument,landmark,monument,4.6,low,"A historic monument landmark, Lion Monument is a significant landmark site known for its architectural beauty and cultural importance."
attr162,Interlaken Adventure Park,attraction,adventure,4.5,low,"An engaging adventure attraction, Interlaken Adventure Park offers attraction experiences for visitors seeking entertainment and cultural enrichment."
attr163,Harder Kulm,landmark,scenic,4.6,low,"A historic scenic landmark, Harder Kulm is a significant landmark site known for its architectural beauty and cultural importance."
attr164,Mont Blanc,landmark,nature,4.9,low,"A historic nature landmark, Mont Blanc is a significant landmark site known for its architectural beauty and cultural importance."
attr165,Aiguille du Midi,landmark,scenic,4.8,medium,"A historic scenic landmark, Aiguille du Midi is a significant landmark site known for its architectural beauty and cultural importance."
attr166,Annecy Old Town,landmark,neighborhood,4.7,low,"A historic neighborhood landmark, Annecy Old Town is a significant landmark site known for its architectural beauty and cultural importance."
attr167,Lake Annecy,landmark,scenic,4.8,low,"A historic scenic landmark, Lake Annecy is a significant landmark site known for its architectural beauty and cultural importance."
attr168,Belfry of Bruges,landmark,monument,4.6,medium,"A historic monument landmark, Belfry of Bruges is a significant landmark site known for its architectural beauty and cultural importance."
attr169,Canals of Bruges,landmark,scenic,4.8,medium,"A historic scenic landmark, Canals of Bruges is a significant landmark site known for its architectural beauty and cultural importance."
attr170,Gravensteen,landmark,historical,4.6,low,"A historic historical landmark, Gravensteen is a significant landmark site known for its architectural beauty and cultural importance."
attr171,St. Bavo's Cathedral,landmark,religious,4.6,low,"A historic religious landmark, St. Bavo's Cathedral is a significant landmark site known for its architectural beauty and cultural importance."
attr172,Erasmus Bridge,landmark,monument,4.5,low,"A historic monument landmark, Erasmus Bridge is a significant landmark site known for its architectural beauty and cultural importance."
attr173,Markthal,attraction,food,4.5,low,"An engaging food attraction, Markthal offers attraction experiences for visitors seeking entertainment and cultural enrichment."
attr174,Dom Tower,landmark,monument,4.6,low,"A historic monument landmark, Dom Tower is a significant landmark site known for its architectural beauty and cultural importance."
attr175,Alhambra,landmark,historical,4.8,high,"A historic historical landmark, Alhambra is a significant landmark site known for its architectural beauty and cultural importance."
attr176,Generalife,landmark,garden,4.7,medium,"A historic garden landmark, Generalife is a significant landmark site known for its architectural beauty and cultural importance."
attr177,Mezquita,landmark,religious,4.8,medium,"A historic religious landmark, Mezquita is a significant landmark site known for its architectural beauty and cultural importance."
attr178,Alcázar de los Reyes Cristianos,landmark,historical,4.6,low,"A historic historical landmark, Alcázar de los Reyes Cristianos is a significant landmark site known for its architectural beauty and cultural importance."
attr179,Alcázar of Toledo,landmark,historical,4.6,low,"A historic historical landmark, Alcázar of Toledo is a significant landmark site known for its architectural beauty and cultural importance."
attr180,Toledo Cathedral,landmark,religious,4.7,low,"A historic religious landmark, Toledo Cathedral is a significant landmark site known for its architectural beauty and cultural importance."
attr181,University of Salamanca,landmark,educational,4.6,low,"A historic educational landmark, University of Salamanca is a significant landmark site known for its architectural beauty and cultural importance."
attr182,Plaza Mayor,landmark,square,4.6,low,"A historic square landmark, Plaza Mayor is a significant landmark site known for its architectural beauty and cultural importance."
attr183,Guggenheim Museum,landmark,architecture,4.7,medium,"A historic architecture landmark, Guggenheim Museum is a significant landmark site known for its architectural beauty and cultural importance."
attr184,La Concha Beach,landmark,beach,4.7,medium,"A historic beach landmark, La Concha Beach is a significant landmark site known for its architectural beauty and cultural importance."
attr185,Wine Museum,attraction,food,4.5,low,"An engaging food attraction, Wine Museum offers attraction experiences for visitors seeking entertainment and cultural enrichment."
attr186,Place de la Bourse,landmark,monument,4.5,low,"A historic monument landmark, Place de la Bourse is a significant landmark site known for its architectural beauty and cultural importance."
attr187,Two Towers,landmark,monument,4.6,low,"A historic monument landmark, Two Towers is a significant landmark site known for its architectural beauty and cultural importance."
attr188,Basilica of San Petronio,landmark,religious,4.5,low,"A historic religious landmark, Basilica of San Petronio is a significant landmark site known for its architectural beauty and cultural importance."
attr189,Palermo Cathedral,landmark,religious,4.5,low,"A historic religious landmark, Palermo Cathedral is a significant landmark site known for its architectural beauty and cultural importance."
attr190,Quattro Canti,landmark,monument,4.5,low,"A historic monument landmark, Quattro Canti is a significant landmark site known for its architectural beauty and cultural importance."
attr191,Mole Antonelliana,landmark,monument,4.6,low,"A historic monument landmark, Mole Antonelliana is a significant landmark site known for its architectural beauty and cultural importance."
attr192,Egyptian Museum,museum,historical,4.6,low,"A museum museum featuring historical collections and exhibitions. Egyptian Museum offers visitors a chance to explore art, history, and culture."
attr193,Palazzo Reale,landmark,historical,4.5,low,"A historic historical landmark, Palazzo Reale is a significant landmark site known for its architectural beauty and cultural importance."
attr194,Palazzo Ducale,landmark,historical,4.6,low,"A historic historical landmark, Palazzo Ducale is a significant landmark site known for its architectural beauty and cultural importance."
